station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2008,4,0.0,3.04e-05,0.003144442,0.007495231,,0.004488461,0.0,Soudanian,3
WA001,2008,5,0.03,5.91e-05,0.000719635,0.09378577,,0.00308319,0.0,Soudanian,3
WA001,2008,6,2.12,0.826809347,0.029352952,0.587923706,,0.521202326,0.364491105,Soudanian,3
WA001,2008,7,2.05,4.820469856,2.326005936,3.462299347,,5.686618805,3.805982113,Soudanian,3
WA001,2008,8,5.42,6.267884731,5.452236652,6.06296587,,9.615867615,5.600479126,Soudanian,3
WA001,2008,9,1.33,6.136017799,1.960056067,4.980923653,,4.254561424,6.393656731,Soudanian,3
WA001,2008,10,0.24,0.598256886,0.558530509,1.235357404,,1.206714272,0.673344612,Soudanian,3
WA001,2008,11,0.0,0.002265909,0.000989,0.034504771,,0.0016409,0.0,Soudanian,3
WA001,2008,12,0.08,0.026708808,0.002330003,0.045009535,,0.049414366,0.0,Soudanian,3
WA001,2009,1,3.55,0.032979734,0.001093635,0.003747616,,0.162349805,0.0,Soudanian,3
WA001,2009,2,2.34,0.001008789,0.001057778,0.040504768,,0.017668262,0.0,Soudanian,3
WA001,2009,3,3.04,2.87e-07,0.003320258,0.063009538,,0.005211333,0.0,Soudanian,3
WA001,2009,4,0.8,0.0,0.001013836,0.032252386,,0.015774511,0.0,Soudanian,3
WA001,2009,5,0.0,3.06e-05,0.006060097,0.043476157,,0.03151333,0.0,Soudanian,3
WA001,2009,6,0.0,0.331797987,0.013978183,0.326252371,,0.234148264,0.114552177,Soudanian,3
WA001,2009,7,2.59,3.144387007,1.168525815,3.300019503,,3.229982138,3.132660151,Soudanian,3
WA001,2009,8,3.84,8.589587212,4.161882401,7.18996048,,9.623826027,8.781860352,Soudanian,3
WA001,2009,9,2.79,5.895900726,3.252626896,5.767833233,,7.353000164,5.756123543,Soudanian,3
WA001,2009,10,0.53,0.478115767,0.933314264,0.721609712,,0.913674414,0.675388455,Soudanian,3
WA001,2009,11,2.5,0.045018241,0.192086056,0.098271467,,0.254440695,0.0,Soudanian,3
WA001,2009,12,0.2,0.036062844,0.002170766,0.26258108,,0.004771282,0.0,Soudanian,3
WA001,2010,1,1.22,0.017970582,0.004043201,0.017999999,,0.000576399,0.0,Soudanian,3
WA001,2010,2,4.72,0.00738477,0.00176492,0.021766691,,0.018662712,0.0,Soudanian,3
WA001,2010,3,2.77,1.75e-07,0.000692943,0.047980923,,0.002203139,0.0,Soudanian,3
WA001,2010,4,2.2,0.000721687,0.006717008,0.015747616,,0.008334944,0.0,Soudanian,3
WA001,2010,5,1.54,0.022024831,0.002410742,0.050271463,,0.113898933,0.0,Soudanian,3
WA001,2010,6,0.95,1.278919935,0.129128188,1.020452023,,0.961778462,0.676955581,Soudanian,3
WA001,2010,7,4.33,1.976856112,0.589883506,2.136661768,,2.36746788,2.22755003,Soudanian,3
WA001,2010,8,3.01,5.316079617,3.258349895,6.451533794,,6.672609806,5.138871193,Soudanian,3
WA001,2010,9,1.7,10.31956387,5.323704243,8.992079735,,11.55242157,10.70808697,Soudanian,3
WA001,2010,10,0.0,0.76822263,1.279108882,1.332114577,,1.611753821,1.358854294,Soudanian,3
WA001,2010,11,0.01,0.00121468,0.002555419,0.030000001,,0.020009935,0.008317438,Soudanian,3
WA001,2010,12,0.0,0.035144709,0.00092545,0.0,,0.061751585,0.0,Soudanian,3
WA001,2011,1,3.29,0.03871689,0.001852593,0.039766692,,0.007379784,0.0,Soudanian,3
WA001,2011,2,4.22,0.007650015,0.00101292,0.016504768,,0.054645475,0.0,Soudanian,3
WA001,2011,3,0.66,0.0,0.000819494,0.0,,0.010058204,0.0,Soudanian,3
WA001,2011,4,0.0,2.83e-07,0.002760958,0.002252384,,0.0,0.0,Soudanian,3
WA001,2011,5,0.89,0.000596957,0.001026714,0.012757153,,0.011895951,0.0,Soudanian,3
WA001,2011,6,1.55,0.519864619,0.018696174,0.325495243,,0.382896096,0.297853738,Soudanian,3
WA001,2011,7,5.0,3.086588144,0.72723037,1.421223879,,2.263205767,1.274026871,Soudanian,3
WA001,2011,8,8.14,6.50530386,5.710165024,7.461671352,,7.981044292,6.302073956,Soudanian,3
WA001,2011,9,3.02,3.626285553,1.634475112,3.150433064,,3.249716997,4.099877834,Soudanian,3
WA001,2011,10,0.0,0.406683862,0.538674474,0.263223767,,0.588997602,0.641086519,Soudanian,3
WA001,2011,11,0.0,0.028941888,0.001246867,0.008252384,,0.0,0.0,Soudanian,3
WA001,2011,12,0.83,0.034310184,0.001045257,0.016504768,,0.0,0.0,Soudanian,3
WA001,2012,1,1.48,0.026540838,0.001984049,0.018757153,,0.017421307,0.0,Soudanian,3
WA001,2012,2,3.98,0.008889406,0.005290853,0.052485693,,0.0,0.0,Soudanian,3
WA001,2012,3,1.73,0.000386345,0.063257962,0.289533406,,0.075043313,0.0,Soudanian,3
WA001,2012,4,0.32,0.000750573,0.025832511,0.154523849,,0.056338597,0.0,Soudanian,3
WA001,2012,5,1.83,0.000353063,0.004620105,0.240076318,,0.068445154,0.0,Soudanian,3
WA001,2012,6,0.7,0.474544257,0.025082316,0.139495224,,0.534331918,0.145802826,Soudanian,3
WA001,2012,7,2.3,4.154407024,1.530943036,3.10097599,,4.83477354,2.814167261,Soudanian,3
WA001,2012,8,3.21,9.674260139,5.32871294,9.232136726,,8.064157486,8.975385666,Soudanian,3
WA001,2012,9,0.41,7.178691387,4.660418987,7.160914421,,6.447694302,7.278997898,Soudanian,3
WA001,2012,10,0.0,0.524834573,0.699947536,0.242252395,,0.611162245,0.882991254,Soudanian,3
WA001,2012,11,0.43,0.00673423,0.001793228,0.039747618,,0.046731051,0.0,Soudanian,3
WA001,2012,12,2.71,0.0358111,0.080191508,0.0,,0.065265089,0.0,Soudanian,3
WA001,2013,1,2.66,0.043289106,0.001916536,0.039766692,,0.263851523,0.0,Soudanian,3
WA001,2013,2,5.73,0.004286692,0.004731704,0.054776229,,0.06863457,0.0,Soudanian,3
WA001,2013,3,1.88,0.000220099,0.002590872,0.021009538,,0.012305816,0.0,Soudanian,3
WA001,2013,4,0.0,0.000551844,0.004578859,0.008252384,,0.028670199,0.0,Soudanian,3
WA001,2013,5,0.0,0.021734646,0.009549651,0.013495231,,0.056095418,0.0,Soudanian,3
WA001,2013,6,0.0,0.440592617,0.085783318,0.247438028,,0.180192113,0.479072571,Soudanian,3
WA001,2013,7,5.16,1.815360546,1.085509181,2.082019091,,2.259638309,1.624801278,Soudanian,3
WA001,2013,8,3.47,8.759835243,10.81153297,8.789619446,,9.49598217,8.396771431,Soudanian,3
WA001,2013,9,3.55,4.64286375,4.173846245,7.222765923,,6.30497551,5.731141567,Soudanian,3
WA001,2013,10,0.0,0.938917458,0.346225888,1.178933263,,1.095117688,1.272103548,Soudanian,3
WA001,2013,11,1.66,0.026088975,0.057407089,0.471123993,,0.400549114,0.368710041,Soudanian,3
WA001,2013,12,0.98,0.047668632,0.036216073,0.426928848,,0.104868561,0.002015514,Soudanian,3
WA001,2014,1,2.3,0.022044487,0.007220472,0.147823915,,0.054677501,0.024208931,Soudanian,3
WA001,2014,2,4.45,0.001404599,0.000843827,0.0,,0.121869221,0.0,Soudanian,3
WA001,2014,3,1.68,0.000299298,0.000910785,0.022504769,,0.07294663,0.0,Soudanian,3
WA001,2014,4,1.06,3.46e-08,0.001088508,0.05176669,,0.021930305,0.0,Soudanian,3
WA001,2014,5,0.0,0.013891757,0.01509683,0.035261925,,0.107739605,0.0,Soudanian,3
