station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE
WA012,2011,7,6.0048,6.388611793518066,6.063973903656006,6.189498424530029,7.586759567260742,6.215090274810791,4.887092590332031
WA012,2011,8,1.3548,1.6115405559539795,2.3803064823150635,1.0712425708770752,3.287905693054199,2.2029805183410645,1.1612902879714966
WA012,2011,9,3.8837,3.2526984214782715,4.487720489501953,3.5644726753234863,5.078613758087158,3.822225332260132,3.291677474975586
WA012,2011,10,8.3677,8.254692077636719,5.073011875152588,7.364250183105469,7.984488010406494,7.861759662628174,9.298410415649414
WA012,2011,11,2.0667,1.0777480602264404,1.962707996368408,1.3572449684143066,2.35754132270813,1.6305718421936035,0.308331161737442
WA012,2011,12,0.0,0.1193178594112396,0.648601233959198,0.0054380749352276,0.025382874533534,0.0383570082485675,0.0
WA012,2012,1,0.0481,0.2391393780708313,0.6857785582542419,0.1370394378900528,0.4009032547473907,0.2325052767992019,0.2419396787881851
WA012,2012,2,1.8838,2.494693756103516,1.7510780096054075,2.4896740913391118,2.119410991668701,2.594635486602783,2.284480571746826
WA012,2012,3,1.1529,1.9382132291793823,1.8611236810684204,1.1616686582565308,1.814419865608216,1.5806792974472046,1.0
WA012,2012,4,5.1687,5.824624538421631,3.6015512943267822,6.180883884429932,6.112719535827637,4.265973567962647,4.966649532318115
WA012,2012,5,4.8135,6.140422344207764,6.212218761444092,4.657741069793701,6.505130290985107,4.802597999572754,6.048399448394775
WA012,2012,6,18.389,11.45215892791748,10.989890098571776,10.654236793518066,8.508185386657715,9.247528076171877,11.600008964538574
WA012,2012,7,2.5416,3.975277900695801,4.7772603034973145,2.491316795349121,4.135773658752441,3.0983986854553223,3.500004291534424
WA012,2012,8,1.7448,0.9803764820098876,2.6989834308624268,1.4067789316177368,2.00483512878418,1.1287175416946411,0.8387096524238586
WA012,2012,9,5.932,5.294618606567383,6.722550392150879,5.151808738708496,6.942177772521973,5.134015083312988,5.916688442230225
WA012,2012,10,6.2387,6.601861953735352,4.229648590087891,5.194072723388672,6.927616119384766,5.2302656173706055,4.419363498687744
WA012,2012,11,1.917,1.974535584449768,2.4785282611846924,1.8561638593673704,3.1976518630981445,2.124530792236328,1.4499956369400024
